GeoID,CaseMasterID,Pincode,IncidentDistrict
6000001,1000001,570002,Mysuru
6000002,1000002,575006,Mangaluru
6000003,1000003,580031,Hubballi-Dharwad
6000004,1000004,573205,Hassan
6000005,1000005,560100,Bengaluru Urban
6000006,1000006,572105,Tumakuru
6000007,1000007,560003,Bengaluru Urban
6000008,1000008,590001,Belagavi
6000009,1000009,580001,Dharwad
6000010,1000010,560100,Bengaluru Urban
6000011,1000011,560011,Bengaluru Urban
6000012,1000012,570001,Mysuru
6000013,1000013,577002,Davanagere
6000014,1000014,580024,Hubballi-Dharwad
6000015,1000015,577205,Shivamogga
6000016,1000016,560070,Bengaluru Urban
6000017,1000017,560003,Bengaluru Urban
6000018,1000018,562102,Chikkaballapur
6000019,1000019,575006,Mangaluru
6000020,1000020,560002,Bengaluru Urban
6000021,1000021,577001,Davanagere
6000022,1000022,580001,Hubballi-Dharwad
6000023,1000023,562101,Chikkaballapur
6000024,1000024,562102,Chikkaballapur
6000025,1000025,562105,Chikkaballapur
6000026,1000026,562103,Chikkaballapur
6000027,1000027,575006,Mangaluru
6000028,1000028,573202,Hassan
6000029,1000029,562110,Bengaluru Rural
6000030,1000030,560002,Bengaluru Urban
6000031,1000031,573202,Hassan
6000032,1000032,562159,Ramanagara
6000033,1000033,577102,Chikkamagaluru
6000034,1000034,563101,Kolar
6000035,1000035,583126,Vijayanagara
6000036,1000036,571313,Chamarajanagara
6000037,1000037,571214,Kodagu
6000038,1000038,571201,Kodagu
6000039,1000039,576104,Udupi
6000040,1000040,562123,Bengaluru Rural
6000041,1000041,583105,Ballari
6000042,1000042,586104,Vijayapura
6000043,1000043,577504,Chitradurga
6000044,1000044,562105,Chikkaballapur
6000045,1000045,562123,Bengaluru Rural
6000046,1000046,571201,Kodagu
6000047,1000047,562112,Bengaluru Rural
6000048,1000048,560070,Bengaluru Urban
6000049,1000049,562160,Ramanagara
6000050,1000050,585401,Bidar
6000051,1000051,571215,Kodagu
6000052,1000052,587103,Bagalkot
6000053,1000053,586102,Vijayapura
6000054,1000054,562114,Bengaluru Rural
6000055,1000055,571213,Kodagu
6000056,1000056,560001,Bengaluru Urban
6000057,1000057,585202,Yadgir
6000058,1000058,571405,Mandya
6000059,1000059,577503,Chitradurga
6000060,1000060,587112,Bagalkot
6000061,1000061,585103,Kalaburagi
6000062,1000062,562114,Bengaluru Rural
