PrecedentID,CaseName,Citation,Year,Court,Outcome,ElementTurnedOn,SectionID,HoldingSummary,IsOverruled
PREC_01,Shreya Singhal v. Union of India,(2015) 5 SCC 1,2015,Supreme Court of India,partial_acquittal,LE_66C_1,IT_66C,"Section 66A of IT Act struck down as unconstitutional. Free speech online protected; however, identity theft provisions (66C/66D) remain valid where there is fraudulent intent and actual harm.",0
PREC_02,Syed Asifuddin v. State of Andhra Pradesh,2005 CriLJ 4314,2005,Andhra Pradesh High Court,conviction,LE_66D_1,IT_66D,Unlocking of mobile handset to activate an unauthorised SIM amounts to tampering with computer source code under IT Act. Court affirmed that computer resources include mobile devices.,0
PREC_03,State of Punjab v. Baldev Singh,(1999) 6 SCC 172,1999,Supreme Court of India,acquittal,LE_BSA_63_2,BSA_63,Evidence obtained without compliance with mandatory procedural requirements is inadmissible. Extended to digital evidence: electronic records without a valid Section 65B (now BSA 63) certificate cannot be admitted.,0
PREC_04,Anvar P.V. v. P.K. Basheer,(2014) 10 SCC 473,2014,Supreme Court of India,acquittal,LE_BSA_63_2,BSA_63,"Electronic evidence (CD containing recordings) inadmissible without a certificate under Section 65B of Indian Evidence Act (now BSA 63). Certificate is a mandatory foundational requirement, not a procedural formality.",0
PREC_05,Tomaso Bruno v. State of UP,(2015) 7 SCC 178,2015,Supreme Court of India,acquittal,LE_BSA_63_3,BSA_63,Electronic evidence — CCTV footage — excluded because chain of custody was not established. Prosecution failed to prove the recording was not tampered with. Device integrity is mandatory.,0
PREC_06,Dharambir v. Central Bureau of Investigation,2008 CriLJ 228 (Delhi HC),2008,Delhi High Court,conviction,LE_43_2,IT_43,Unauthorised access to another's email account and downloading private communications held to constitute 'damage to computer system' under Section 43 of IT Act. Financial gain not required; privacy violation suffices.,0
PREC_07,State of Rajasthan v. Bhawani Singh,(2009) 6 SCC 304,2009,Supreme Court of India,conviction,LE_318_1,BNS_318,"For cheating (IPC 420 / BNS 318), dishonest inducement must be at the inception of the transaction; knowledge that the representation was false from the beginning is the crux of the offence.",0
PREC_08,Hridaya Ranjan Prasad Verma v. State of Bihar,(2000) 4 SCC 168,2000,Supreme Court of India,acquittal,LE_318_2,BNS_318,"Mere failure to keep a promise is not cheating. To constitute cheating, the fraudulent intent must exist at the time of making the promise, not arise later. Acquitted as breach was commercial, not criminal.",0
PREC_09,ICICI Bank Ltd. v. Shanti Devi Sharma,(2008) 8 SCC 282,2008,Supreme Court of India,conviction,LE_66C_2,IT_66C,Bank held liable for phishing incident where customer's credentials were used to fraudulently transfer funds. Court held that banks must implement two-factor authentication; use of another's electronic credentials is punishable.,0
PREC_10,Vikas Garg v. State of Haryana,(2017) 15 SCC 405,2017,Supreme Court of India,conviction,LE_319_1,BNS_319,Accused who misrepresented himself as government authority to extort money convicted for cheating by personation. The false claim of official status was the instrument of cheating.,0
PREC_11,Arjun Panditrao Khotkar v. Kailash Kushanrao Gorantyal,(2020) 7 SCC 1,2020,Supreme Court of India,acquittal,LE_BSA_63_2,BSA_63,Clarified Anvar P.V.: certificate under Section 65B (now BSA 63) must be obtained at the time of production or as soon as reasonably practicable. Secondary evidence of electronic records without certificate is inadmissible.,0
PREC_12,Shilpa Mittal v. State of NCT of Delhi,(2020) 2 SCC 787,2020,Supreme Court of India,conviction,LE_PMLA_2,PMLA_3,"Layering of proceeds through multiple bank accounts followed by cash withdrawal constitutes 'process or activity' under PMLA Section 3. Chain of transfers, even if done by third parties, attracts money laundering charge when predicate offence is proved.",0
